index,id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,churn,age_group,hasloan,camp_success,month_num,quarter,churn_cat
23449,id_19298,28.0,management,single,tertiary,no,474.0,no,no,cellular,29,jan,329.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
23441,id_32012,32.0,blue-collar,single,secondary,no,503.0,no,yes,cellular,30,jan,105.0,3.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
9126,id_27692,64.0,retired,married,tertiary,no,4692.0,yes,no,cellular,13,jan,108.0,1.0,1,0,Senior,True,False,1,Q1,UnSubscribed
23431,id_8360,27.0,management,single,tertiary,no,98.0,no,no,telephone,28,jan,265.0,4.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
9688,id_29137,34.0,housemaid,married,secondary,no,724.0,no,no,telephone,28,jan,57.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
9160,id_31251,51.0,entrepreneur,divorced,tertiary,no,319.0,no,no,cellular,8,jan,229.0,1.0,1,0,Adult,False,False,1,Q1,UnSubscribed
9206,id_24805,36.0,management,single,unknown,no,345.0,no,no,cellular,29,jan,60.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
9207,id_9635,31.0,management,married,tertiary,no,3912.0,no,yes,cellular,29,jan,265.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
23355,id_20916,37.0,technician,single,tertiary,no,1074.0,yes,yes,cellular,29,jan,104.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
23326,id_37939,53.0,self-employed,divorced,tertiary,no,11.0,no,no,cellular,28,jan,193.0,3.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23322,id_13882,35.0,admin.,single,secondary,no,793.0,yes,no,telephone,29,jan,136.0,3.0,0,0,Adult,True,False,1,Q1,UnSubscribed
30452,id_18082,61.0,retired,divorced,unknown,no,-48.0,yes,no,cellular,29,jan,169.0,1.0,2,0,Senior,True,False,1,Q1,UnSubscribed
1314,id_36612,42.0,management,married,tertiary,no,-63.0,no,no,cellular,30,jan,105.0,5.0,1,0,Adult,False,False,1,Q1,UnSubscribed
23309,id_22717,37.0,housemaid,married,tertiary,no,1368.0,no,no,cellular,29,jan,28.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23375,id_8203,40.0,entrepreneur,single,unknown,no,326.0,no,no,cellular,28,jan,140.0,1.0,1,0,Adult,False,False,1,Q1,UnSubscribed
30510,id_39731,48.0,technician,divorced,tertiary,no,-2.0,no,no,cellular,28,jan,1204.0,2.0,0,1,Adult,False,True,1,Q1,Subscribed
22936,id_5019,33.0,blue-collar,single,secondary,no,1137.0,yes,no,cellular,29,jan,39.0,1.0,1,0,Young Adult,True,False,1,Q1,UnSubscribed
1242,id_30073,52.0,entrepreneur,married,tertiary,no,1132.0,no,yes,cellular,28,jan,240.0,1.0,8,0,Adult,True,False,1,Q1,UnSubscribed
10008,id_41586,47.0,services,divorced,secondary,no,-30.0,no,yes,cellular,30,jan,70.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
10019,id_18005,29.0,self-employed,single,secondary,no,1162.0,no,yes,cellular,30,jan,195.0,3.0,3,0,Young Adult,True,False,1,Q1,UnSubscribed
22596,id_14420,51.0,technician,divorced,tertiary,no,366.0,yes,no,unknown,7,jan,0.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
10062,id_12112,49.0,technician,divorced,secondary,no,377.0,yes,no,cellular,29,jan,507.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
22565,id_11099,36.0,admin.,single,secondary,no,713.0,yes,no,cellular,29,jan,182.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
10077,id_30096,27.0,management,married,tertiary,no,53.0,no,no,cellular,28,jan,864.0,3.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
10083,id_22616,26.0,admin.,single,secondary,no,95.0,no,no,cellular,29,jan,164.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
22547,id_23198,31.0,management,married,tertiary,no,346.0,no,no,cellular,29,jan,339.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
1195,id_3522,55.0,admin.,married,secondary,no,258.0,no,yes,telephone,29,jan,276.0,4.0,7,0,Adult,True,False,1,Q1,UnSubscribed
22528,id_15195,31.0,services,single,tertiary,no,1022.0,no,no,cellular,29,jan,86.0,1.0,3,0,Young Adult,False,False,1,Q1,UnSubscribed
22513,id_29197,47.0,management,single,tertiary,no,489.0,no,yes,unknown,11,jan,47.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
10138,id_36940,82.0,housemaid,divorced,primary,no,1380.0,no,no,cellular,28,jan,100.0,3.0,1,0,Senior,False,False,1,Q1,UnSubscribed
22485,id_44717,58.0,management,married,secondary,no,-1.0,no,no,cellular,28,jan,119.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
22455,id_40318,57.0,retired,married,secondary,no,4461.0,no,no,cellular,28,jan,139.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
30588,id_19035,60.0,management,single,secondary,no,673.0,yes,yes,cellular,29,jan,223.0,2.0,5,0,Senior,True,False,1,Q1,UnSubscribed
22443,id_26970,85.0,retired,married,unknown,no,1931.0,no,no,telephone,12,jan,130.0,1.0,0,0,Senior,False,False,1,Q1,UnSubscribed
10223,id_44229,32.0,unemployed,single,secondary,no,318.0,no,no,cellular,30,jan,117.0,1.0,1,0,Young Adult,False,False,1,Q1,UnSubscribed
30597,id_4776,37.0,technician,married,tertiary,no,-292.0,yes,yes,cellular,29,jan,144.0,1.0,3,0,Adult,True,False,1,Q1,UnSubscribed
22516,id_13673,36.0,technician,single,secondary,no,1368.0,yes,no,cellular,28,jan,42.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
23518,id_25064,31.0,blue-collar,single,secondary,no,-64.0,no,no,cellular,29,jan,98.0,2.0,1,0,Young Adult,False,False,1,Q1,UnSubscribed
22690,id_2486,28.0,housemaid,married,tertiary,no,547.0,no,no,cellular,30,jan,187.0,3.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
30547,id_24471,32.0,admin.,divorced,secondary,no,207.0,yes,no,unknown,7,jan,26.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
9692,id_45075,40.0,technician,married,secondary,no,227.0,no,no,cellular,29,jan,359.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
9696,id_27448,39.0,management,single,tertiary,no,4027.0,yes,no,cellular,29,jan,130.0,2.0,8,0,Adult,True,False,1,Q1,UnSubscribed
22927,id_33035,40.0,entrepreneur,single,tertiary,no,-278.0,yes,yes,cellular,29,jan,91.0,1.0,2,0,Adult,True,False,1,Q1,UnSubscribed
22915,id_40466,40.0,management,married,tertiary,no,361.0,no,no,cellular,29,jan,138.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
9786,id_42489,30.0,management,single,tertiary,no,219.0,no,no,cellular,29,jan,373.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
1225,id_11568,39.0,technician,single,secondary,no,-321.0,no,no,cellular,28,jan,229.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
22817,id_4305,31.0,admin.,single,secondary,no,193.0,no,no,cellular,28,jan,188.0,3.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
22814,id_19564,60.0,retired,divorced,tertiary,no,499.0,yes,yes,cellular,29,jan,198.0,1.0,0,0,Senior,True,False,1,Q1,UnSubscribed
22695,id_30894,51.0,management,single,secondary,no,63.0,yes,no,cellular,29,jan,183.0,2.0,1,0,Adult,True,False,1,Q1,UnSubscribed
22801,id_9006,45.0,management,divorced,tertiary,no,5975.0,no,no,cellular,28,jan,42.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
1216,id_26694,28.0,services,married,secondary,no,341.0,yes,no,cellular,28,jan,165.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
22756,id_16645,60.0,technician,married,secondary,no,2042.0,no,no,telephone,29,jan,106.0,1.0,7,0,Senior,False,False,1,Q1,UnSubscribed
9870,id_19938,26.0,services,single,tertiary,no,735.0,yes,yes,cellular,30,jan,512.0,5.0,1,0,Young Adult,True,False,1,Q1,UnSubscribed
9871,id_23370,48.0,unemployed,married,tertiary,no,641.0,no,no,cellular,28,jan,108.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
1212,id_2305,24.0,admin.,single,secondary,no,803.0,no,no,cellular,30,jan,76.0,1.0,2,0,Young Adult,False,False,1,Q1,UnSubscribed
9880,id_16254,57.0,admin.,married,secondary,no,436.0,yes,no,telephone,28,jan,191.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
22735,id_12727,30.0,technician,single,secondary,no,-5.0,no,no,cellular,29,jan,638.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
9927,id_40255,43.0,technician,married,unknown,no,1942.0,no,no,cellular,28,jan,573.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
22765,id_38684,34.0,management,single,tertiary,no,691.0,no,no,cellular,28,jan,251.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
1140,id_3403,61.0,retired,married,primary,no,-412.0,no,no,cellular,29,jan,236.0,1.0,0,0,Senior,False,False,1,Q1,UnSubscribed
23584,id_31940,59.0,retired,divorced,secondary,no,212.0,no,yes,cellular,28,jan,518.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
23650,id_17844,58.0,retired,married,secondary,no,1061.0,yes,no,cellular,28,jan,273.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
1520,id_39845,31.0,services,single,secondary,no,813.0,no,no,unknown,6,jan,73.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8148,id_4803,29.0,technician,married,secondary,no,2735.0,yes,no,cellular,29,jan,207.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
24291,id_35307,28.0,blue-collar,single,tertiary,no,249.0,no,no,cellular,29,jan,195.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
24264,id_24380,27.0,technician,single,secondary,no,134.0,yes,no,cellular,29,jan,112.0,2.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
8261,id_813,48.0,technician,divorced,secondary,no,439.0,no,no,cellular,29,jan,159.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
8277,id_16228,28.0,student,married,secondary,no,286.0,no,no,cellular,29,jan,237.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
24174,id_14369,31.0,management,single,tertiary,no,1068.0,yes,no,telephone,29,jan,80.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
24173,id_5304,49.0,management,married,tertiary,no,1387.0,no,no,cellular,28,jan,1110.0,2.0,3,0,Adult,False,False,1,Q1,UnSubscribed
8313,id_39156,34.0,admin.,single,secondary,no,253.0,yes,no,cellular,28,jan,324.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
24139,id_33460,32.0,self-employed,married,tertiary,no,1821.0,yes,yes,cellular,29,jan,132.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
8345,id_4263,56.0,technician,married,secondary,no,274.0,yes,no,cellular,29,jan,103.0,3.0,3,0,Adult,True,False,1,Q1,UnSubscribed
24106,id_5227,37.0,management,married,secondary,no,858.0,yes,no,cellular,28,jan,123.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
8372,id_13394,69.0,retired,divorced,primary,no,481.0,no,no,telephone,14,jan,372.0,1.0,2,1,Senior,False,True,1,Q1,Subscribed
24095,id_10841,58.0,unemployed,married,tertiary,no,743.0,no,no,telephone,28,jan,21.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
8380,id_12800,29.0,technician,single,secondary,no,484.0,no,no,cellular,28,jan,354.0,3.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
24087,id_20890,50.0,management,married,tertiary,no,85.0,no,no,cellular,29,jan,171.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
1472,id_40368,24.0,student,single,secondary,no,4.0,no,no,cellular,28,jan,114.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8135,id_34042,37.0,management,divorced,tertiary,no,547.0,yes,no,cellular,29,jan,300.0,2.0,4,0,Adult,True,False,1,Q1,UnSubscribed
8133,id_35965,31.0,services,single,secondary,no,132.0,no,no,cellular,14,jan,285.0,2.0,1,1,Young Adult,False,True,1,Q1,Subscribed
24313,id_42916,36.0,admin.,divorced,tertiary,no,279.0,no,no,cellular,30,jan,41.0,2.0,1,0,Adult,False,False,1,Q1,UnSubscribed
8118,id_28501,31.0,unemployed,single,primary,no,1022.0,no,no,cellular,28,jan,432.0,3.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
7966,id_23440,26.0,management,single,tertiary,no,1218.0,no,no,cellular,30,jan,257.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
7972,id_40313,32.0,technician,married,tertiary,no,1696.0,no,no,cellular,28,jan,212.0,1.0,3,1,Young Adult,False,True,1,Q1,Subscribed
1563,id_5320,44.0,self-employed,married,tertiary,no,124.0,no,no,cellular,29,jan,285.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
24442,id_22628,25.0,technician,single,tertiary,no,963.0,yes,no,cellular,29,jan,347.0,2.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
7983,id_22328,33.0,management,married,secondary,no,239.0,no,no,cellular,30,jan,418.0,4.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
7985,id_38318,36.0,unemployed,divorced,secondary,no,53.0,yes,no,cellular,28,jan,88.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
24429,id_22693,24.0,blue-collar,single,primary,no,152.0,yes,no,cellular,29,jan,296.0,1.0,4,0,Young Adult,True,False,1,Q1,UnSubscribed
24419,id_35094,50.0,unknown,married,unknown,no,14.0,no,no,telephone,28,jan,60.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
30301,id_4259,29.0,student,single,tertiary,no,1092.0,no,no,cellular,28,jan,67.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
30223,id_8474,27.0,admin.,single,secondary,no,770.0,no,no,cellular,29,jan,596.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8028,id_4341,24.0,management,single,secondary,no,593.0,no,no,cellular,28,jan,21.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
1544,id_2735,38.0,unemployed,married,tertiary,no,-1.0,no,no,cellular,30,jan,62.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
8037,id_11335,31.0,services,single,secondary,no,113.0,no,no,cellular,28,jan,122.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8081,id_14507,24.0,admin.,single,secondary,no,118.0,no,no,cellular,30,jan,57.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8087,id_33408,26.0,admin.,married,secondary,no,513.0,no,no,cellular,28,jan,487.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
8092,id_25576,28.0,admin.,single,secondary,no,1099.0,no,no,cellular,15,jan,83.0,2.0,13,0,Young Adult,False,False,1,Q1,UnSubscribed
8094,id_26637,47.0,technician,divorced,secondary,no,1189.0,yes,yes,cellular,30,jan,105.0,3.0,0,0,Adult,True,False,1,Q1,UnSubscribed
30245,id_32150,34.0,services,divorced,secondary,no,1194.0,yes,no,cellular,30,jan,153.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
30227,id_22646,33.0,blue-collar,married,secondary,no,-214.0,yes,no,cellular,29,jan,126.0,2.0,5,0,Young Adult,True,False,1,Q1,UnSubscribed
24052,id_14014,47.0,management,married,unknown,no,806.0,yes,no,cellular,30,jan,443.0,1.0,1,0,Adult,True,False,1,Q1,UnSubscribed
24047,id_27465,27.0,management,single,tertiary,no,184.0,yes,no,cellular,28,jan,173.0,2.0,2,0,Young Adult,True,False,1,Q1,UnSubscribed
8454,id_16232,30.0,services,single,secondary,yes,-263.0,yes,no,cellular,29,jan,1153.0,2.0,1,0,Young Adult,True,False,1,Q1,UnSubscribed
23812,id_22112,60.0,retired,divorced,tertiary,no,980.0,yes,no,cellular,15,jan,286.0,3.0,1,1,Senior,True,True,1,Q1,Subscribed
8703,id_42011,49.0,blue-collar,married,primary,no,1682.0,no,no,cellular,28,jan,259.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23779,id_32666,32.0,admin.,single,tertiary,no,288.0,no,no,telephone,28,jan,218.0,6.0,5,0,Young Adult,False,False,1,Q1,UnSubscribed
8745,id_32361,34.0,management,married,tertiary,no,2.0,no,no,cellular,15,jan,412.0,2.0,1,1,Young Adult,False,True,1,Q1,Subscribed
8746,id_7845,24.0,management,single,tertiary,no,626.0,no,no,cellular,30,jan,559.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
23767,id_42207,53.0,technician,divorced,secondary,no,1112.0,yes,no,cellular,30,jan,93.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
30369,id_34740,48.0,management,married,primary,no,591.0,no,no,cellular,29,jan,208.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23735,id_31334,39.0,management,divorced,secondary,no,642.0,no,no,cellular,30,jan,530.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
8672,id_8636,40.0,admin.,single,secondary,no,138.0,yes,no,cellular,29,jan,251.0,2.0,3,0,Adult,True,False,1,Q1,UnSubscribed
1391,id_23615,64.0,management,married,tertiary,no,3953.0,no,no,cellular,28,jan,140.0,1.0,1,1,Senior,False,True,1,Q1,Subscribed
8824,id_8366,32.0,management,single,secondary,no,80.0,yes,no,cellular,29,jan,84.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
8848,id_43908,25.0,self-employed,single,secondary,no,48.0,yes,no,cellular,30,jan,219.0,2.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
1383,id_7587,26.0,services,single,unknown,no,192.0,no,no,cellular,30,jan,727.0,2.0,0,1,Young Adult,False,True,1,Q1,Subscribed
23696,id_41840,27.0,technician,single,secondary,no,141.0,yes,no,cellular,29,jan,81.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
23693,id_15174,53.0,services,divorced,primary,no,2919.0,yes,no,cellular,29,jan,101.0,1.0,2,0,Adult,True,False,1,Q1,UnSubscribed
8876,id_8844,45.0,management,married,tertiary,no,177.0,no,no,cellular,28,jan,134.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23660,id_16937,44.0,blue-collar,married,tertiary,no,46.0,yes,no,cellular,28,jan,1985.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
8913,id_11475,48.0,management,married,tertiary,no,370.0,yes,no,cellular,30,jan,123.0,0.0,2,0,Adult,True,False,1,Q1,UnSubscribed
8808,id_23501,36.0,technician,single,secondary,no,953.0,yes,no,cellular,30,jan,157.0,1.0,1,0,Adult,True,False,1,Q1,UnSubscribed
23611,id_34997,30.0,services,single,secondary,no,2990.0,yes,no,cellular,30,jan,344.0,4.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
30343,id_21526,37.0,technician,married,secondary,no,1510.0,no,no,cellular,29,jan,185.0,2.0,8,0,Adult,False,False,1,Q1,UnSubscribed
23896,id_9977,40.0,technician,single,secondary,no,261.0,yes,no,cellular,29,jan,234.0,2.0,2,0,Adult,True,False,1,Q1,UnSubscribed
30309,id_35059,45.0,management,married,tertiary,no,862.0,no,no,cellular,29,jan,146.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
24019,id_12603,49.0,admin.,single,tertiary,no,20.0,yes,no,cellular,30,jan,140.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
1456,id_7787,27.0,services,married,secondary,no,377.0,no,yes,telephone,28,jan,30.0,3.0,4,0,Young Adult,True,False,1,Q1,UnSubscribed
8483,id_21796,35.0,blue-collar,married,primary,no,69.0,yes,no,cellular,28,jan,155.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
24012,id_2356,18.0,student,single,primary,no,105.0,no,no,cellular,18,jan,157.0,2.0,4,0,Teen,False,False,1,Q1,UnSubscribed
8489,id_38183,36.0,housemaid,divorced,secondary,no,68.0,no,no,cellular,27,jan,167.0,4.0,4,1,Adult,False,True,1,Q1,Subscribed
8503,id_14002,34.0,management,single,tertiary,no,1340.0,yes,no,cellular,29,jan,262.0,1.0,3,0,Young Adult,True,False,1,Q1,UnSubscribed
23988,id_9559,50.0,services,married,secondary,no,5694.0,yes,no,cellular,30,jan,446.0,1.0,2,0,Adult,True,False,1,Q1,UnSubscribed
8644,id_2205,51.0,management,divorced,secondary,no,614.0,no,yes,cellular,28,jan,281.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
1446,id_26156,44.0,blue-collar,married,primary,no,482.0,yes,no,cellular,29,jan,101.0,1.0,4,0,Adult,True,False,1,Q1,UnSubscribed
8531,id_17553,42.0,technician,married,tertiary,no,-2.0,no,no,cellular,28,jan,961.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23965,id_26683,29.0,blue-collar,married,secondary,no,255.0,yes,yes,cellular,29,jan,76.0,1.0,1,0,Young Adult,True,False,1,Q1,UnSubscribed
8550,id_26407,35.0,technician,single,secondary,no,4642.0,yes,no,cellular,11,jan,504.0,3.0,40,0,Adult,True,False,1,Q1,UnSubscribed
23952,id_25565,59.0,technician,married,secondary,no,482.0,no,no,cellular,29,jan,158.0,1.0,5,0,Adult,False,False,1,Q1,UnSubscribed
1433,id_42677,43.0,services,divorced,secondary,no,3.0,yes,yes,cellular,29,jan,289.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
23947,id_9466,28.0,services,single,secondary,no,1368.0,no,no,cellular,28,jan,271.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
23932,id_17599,54.0,admin.,divorced,secondary,no,2682.0,yes,no,cellular,29,jan,373.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
8586,id_9675,49.0,technician,married,secondary,no,219.0,no,no,cellular,28,jan,76.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23982,id_15400,40.0,technician,single,tertiary,no,429.0,yes,no,cellular,28,jan,180.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
22385,id_44749,32.0,management,single,tertiary,no,977.0,no,no,cellular,29,jan,745.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
10292,id_36169,55.0,blue-collar,married,primary,no,119.0,no,no,cellular,29,jan,120.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
1133,id_23649,41.0,admin.,single,unknown,no,354.0,yes,no,cellular,29,jan,107.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
21031,id_5403,25.0,self-employed,single,secondary,no,240.0,yes,no,cellular,30,jan,224.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
11765,id_17309,38.0,management,married,tertiary,no,207.0,no,no,cellular,25,jan,252.0,1.0,1,1,Adult,False,True,1,Q1,Subscribed
11767,id_9449,38.0,management,single,tertiary,no,1368.0,no,no,cellular,29,jan,60.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
20996,id_35111,25.0,unemployed,single,primary,no,1459.0,yes,no,telephone,29,jan,152.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
